Header,female,male,female,male,female,male,female,male,female,male,female,male
Age,6,6,11,11,16,16,25,25,40,40,85,85
Calories,1200,1500,1600,1800,1800,2800,2000,2600,1800,2200,1600,2000
Fiber,16.8,19.6,22.4,25.2,25.2,30.8,28,33.6,25.2,30.8,22.4,28
Calcium,1000,1000,1300,1300,1300,1300,1000,1000,1000,1000,1200,1000
Iron,10,10,8,8,15,11,18,8,18,8,8,8
Magnesium,130,130,240,240,360,410,310,400,320,420,320,420
Phosphorus,500,500,1250,1250,1250,1250,700,700,700,700,700,700
Potassium,3800,3800,4500,4500,4700,4700,4700,4700,4700,4700,4700,4700
Sodium,1900,1900,2200,2200,2300,2300,2300,2300,2300,2300,2300,2300
Zinc,5,5,8,8,9,11,8,11,8,11,8,11
Copper,0.44,0.44,0.7,0.7,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9
Manganese,1.5,1.5,1.6,1.9,1.6,2.2,1.8,2.3,1.8,2.3,1.8,2.3
Selenium,30,30,40,40,55,55,55,55,55,55,55,55
VitaminA,400,400,600,600,700,900,700,900,700,900,700,900
VitaminE,7,7,11,11,15,15,15,15,15,15,15,15
VitaminD,600,600,600,600,600,600,600,600,600,600,600,600
VitaminC,25,25,45,45,65,75,75,90,75,90,75,90
Thiamin,0.6,0.6,0.9,0.9,1,1.2,1.1,1.2,1.1,1.2,1.1,1.2
Riboflavin,0.6,0.6,0.9,0.9,1,1.3,1.1,1.3,1.1,1.3,1.1,1.3
Niacin,8,8,12,12,14,16,14,16,14,16,14,16
VitaminB6,0.6,0.6,1,1,1.2,1.3,1.3,1.3,1.3,1.3,1.5,1.7
VitaminB12,1.2,1.2,1.8,1.8,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Choline,250,250,375,375,400,550,425,550,425,550,425,550
VitaminK,55,55,60,60,75,75,90,120,90,120,90,120
Folate,200,200,300,300,400,400,400,400,400,400,400,400
