ID,name,Food Group,Calories,Fat,Protein,Carbohydrate,Sugars,Fiber,Saturated Fat,Calcium,Iron,Potassium,Magnesium,Vitamin A,Vitamin C,Vitamin B12,Vitamin E,Phosphorus,Sodium,Zinc,Copper,Manganese,Selenium,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Choline,Vitamin D,Vitamin K
167522,Dutch Apple Pie,Baked Foods,290.0,11.5,2.17,44.54,22.02,1.6,2.313,14,0.91,76,8,18,5.7,0.0,0.96,29,200,0.19,0.148,0.233,2.2,0.193,0.067,1.094,0.039,21,17.0,0,16.4
167532,Bread White Wheat,Baked Foods,238.0,2.15,10.66,43.91,5.0,9.2,0.63,684,4.89,127,26,0,0.0,0.0,0.38,103,478,0.95,0.149,0.634,16.1,0.51,0.255,4.455,0.08,127,8.1,0,7.7
167667,Egg Rolls Assorted,Restaurant Foods,250.0,11.94,8.28,27.29,0.0,2.6,2.116,40,1.41,165,18,0,0.0,0.44,0.0,85,468,0.62,0.148,0.245,0.0,0.165,0.077,2.725,0.167,0,17.9,0,58.9
167674,Lemon Chicken,Restaurant Foods,252.0,13.55,11.87,20.61,8.18,1.0,2.033,40,1.22,161,16,3,2.3,0.11,1.28,136,252,0.51,0.04,0.089,13.0,0.053,0.07,3.776,0.25,9,28.6,5,24.4
167676,Kung Pao Chicken,Restaurant Foods,129.0,6.98,9.76,6.87,3.03,1.5,1.352,20,0.76,218,24,65,7.1,0.11,1.02,94,402,0.74,0.073,0.256,8.1,0.032,0.055,2.757,0.243,16,37.4,0,13.6
167746,Lemons,Fruits,29.0,0.3,1.1,9.32,2.5,2.8,0.039,26,0.6,138,8,1,53.0,0.0,0.15,16,2,0.06,0.037,0.03,0.4,0.04,0.02,0.1,0.08,11,5.1,0,0.0
167747,Lemon Juice Raw,Fruits,22.0,0.24,0.35,6.9,2.52,0.3,0.04,6,0.08,103,6,0,38.7,0.0,0.15,8,1,0.05,0.016,0.012,0.1,0.024,0.015,0.091,0.046,20,5.1,0,0.0
167755,Raspberries,Fruits,52.0,0.65,1.2,11.94,4.42,6.5,0.019,25,0.69,151,22,2,26.2,0.0,0.87,29,1,0.42,0.09,0.67,0.2,0.032,0.038,0.598,0.055,21,12.3,0,7.8
167762,Strawberries,Fruits,32.0,0.3,0.67,7.68,4.89,2.0,0.015,16,0.41,153,13,1,58.8,0.0,0.29,24,1,0.14,0.048,0.386,0.4,0.024,0.022,0.386,0.047,24,5.7,0,2.2
167765,Watermelon,Fruits,30.0,0.15,0.61,7.55,6.2,0.4,0.016,7,0.24,112,10,28,8.1,0.0,0.05,11,1,0.1,0.042,0.038,0.4,0.033,0.021,0.178,0.045,3,4.1,0,0.1
168081,Sweet And Sour Chicken,Restaurant Foods,250.0,12.65,10.1,23.86,11.47,1.0,1.933,45,2.12,158,15,18,2.4,0.09,0.82,135,246,0.42,0.039,0.152,11.5,0.053,0.043,3.657,0.257,11,24.2,7,22.5
168082,Sweet And Sour Pork,Restaurant Foods,270.0,15.66,8.91,23.34,10.34,1.0,2.68,46,3.07,152,13,29,2.3,0.19,0.89,133,304,1.07,0.06,0.173,9.7,0.235,0.103,2.112,0.17,0,32.5,0,27.9
168148,Frog Legs,Fish,73.0,0.3,16.4,0.0,0.0,0.0,0.076,18,1.5,285,20,15,0.0,0.4,1.0,147,58,1.0,0.25,0.0,14.1,0.14,0.25,1.2,0.12,15,65.0,8,0.1
168153,Kiwifruit,Fruits,61.0,0.52,1.14,14.66,8.99,3.0,0.029,34,0.31,312,17,4,92.7,0.0,1.46,34,3,0.14,0.13,0.098,0.2,0.027,0.025,0.341,0.063,25,7.8,0,40.3
168177,Pears,Fruits,42.0,0.23,0.5,10.65,7.05,3.6,0.012,4,0.0,121,8,0,3.8,0.0,0.12,11,0,0.02,0.05,0.06,0.1,0.009,0.01,0.219,0.022,8,5.1,0,4.5
